선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,년도
최용제,두산,0.279,79,119,104,7,29,3,0,0,32,15,1,1,11,0,2,21,0,0.308,0.356,0.664,3,0.279,0.371,2021
허경민,두산,0.278,136,518,468,61,130,24,1,5,171,59,3,3,36,1,8,35,21,0.365,0.338,0.703,34,0.285,0.444,2021
김재환,두산,0.274,137,566,475,86,130,23,2,27,238,102,0,5,81,3,5,127,9,0.501,0.382,0.883,40,0.338,0.5,2021
양석환,두산,0.273,133,546,488,66,133,22,0,28,239,96,0,7,42,2,9,136,10,0.490,0.337,0.827,34,0.29,0.25,2021
박계범,두산,0.267,118,385,322,44,86,12,1,5,115,46,7,3,44,0,9,68,8,0.357,0.368,0.725,21,0.267,0.0,2021
정수빈,두산,0.259,104,351,313,50,81,19,4,3,117,37,4,2,29,1,3,50,7,0.374,0.326,0.700,19,0.301,0.25,2021
김인태,두산,0.259,133,418,344,51,89,15,1,8,130,46,5,4,62,0,3,67,10,0.378,0.373,0.751,20,0.337,0.381,2021
안재석,두산,0.255,96,224,200,28,51,8,2,2,69,14,0,4,16,0,4,53,4,0.345,0.317,0.662,11,0.213,0.182,2021
전민재,두산,0.250,9,5,4,1,1,0,0,0,1,1,0,1,0,0,0,2,0,0.250,0.200,0.450,0,0.0,0.0,2021
강승호,두산,0.239,113,340,301,47,72,16,2,7,113,37,8,3,22,1,6,78,8,0.375,0.301,0.676,17,0.287,0.0,2021
안권수,두산,0.238,87,47,42,17,10,0,1,0,12,4,2,0,3,0,0,3,0,0.286,0.289,0.575,2,0.267,0.0,2021
장승현,두산,0.232,92,211,177,18,41,10,0,2,57,27,6,1,19,0,8,50,2,0.322,0.332,0.654,8,0.365,0.0,2021
박세혁,두산,0.219,96,270,237,25,52,12,0,0,64,30,3,3,22,0,5,43,6,0.270,0.296,0.566,11,0.258,0.273,2021
권민석,두산,0.214,33,15,14,8,3,2,0,0,5,1,0,0,1,0,0,7,0,0.357,0.267,0.624,0,0.25,0.0,2021
김재호,두산,0.209,89,251,211,23,44,8,0,1,55,24,6,3,29,0,2,34,7,0.261,0.306,0.567,12,0.186,0.222,2021
신성현,두산,0.182,11,15,11,3,2,0,0,0,2,0,0,0,3,0,1,6,0,0.182,0.400,0.582,1,0.0,0.0,2021
오재원,두산,0.167,45,79,72,6,12,3,0,0,15,5,0,1,6,0,0,18,3,0.208,0.228,0.436,1,0.05,0.111,2021
국해성,두산,0.125,4,8,8,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0.125,0.125,0.250,0,0.0,0.0,2021
권휘,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2021
김강률,두산,-,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2021
김명신,두산,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2021
김민규,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2021
