선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
김휘집,키움,0.222,21,57,91,0.63,6,0.34,4.26,0.114,40.9,0.231
박찬혁,키움,0.211,11,24,36,0.67,0,0.13,3.92,0.143,15.8,0.212
김재현,키움,0.207,5,26,21,1.24,1,0.11,3.53,0.085,4.7,0.178
전병우,키움,0.203,12,39,51,0.76,5,0.25,3.90,0.112,18.6,0.208
김주형,키움,0.200,9,34,26,1.31,0,0.14,3.70,0.109,10.8,0.215
이용규,키움,0.199,6,113,64,1.77,3,1.07,4.42,0.022,25.8,0.202
김준완,키움,0.192,13,108,80,1.35,3,0.90,4.59,0.054,35.3,0.214
이병규,키움,0.184,2,15,5,3.00,0,0.18,4.20,0.079,2.2,0.167
김수환,키움,0.179,10,24,36,0.67,2,0.38,4.08,0.129,15.4,0.21
이주형,키움,0.169,1,20,13,1.54,2,0.37,3.98,0.042,6.2,0.185
박준태,키움,0.157,5,11,15,0.73,1,0.33,4.43,0.100,6.2,0.194
신준우,키움,0.140,3,9,9,1.00,0,0.37,3.65,0.070,3.3,0.182
예진원,키움,0.100,0,4,2,2.00,0,1.00,3.93,0.000,0.7,0.164
김시앙,키움,0.083,0,2,1,2.00,0,0.13,4.00,0.000,-0.5,0.09
강민국,키움,0.000,0,1,1,1.00,1,1.00,3.75,0.000,0.1,0.113
김성진,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
김태훈,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
노운현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
박승주,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
박주성,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
애플러,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
하영민,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
유상빈,한화,0.326,5,7,14,0.50,1,0.00,3.20,0.109,5.9,0.252
터크먼,한화,0.289,53,150,157,0.96,2,0.62,4.00,0.141,86.8,0.272
노시환,한화,0.281,31,119,102,1.17,5,0.51,3.91,0.101,58.3,0.255
